,cllp,fine,omf,ppsa
Battery,2104.5788,2104.615,2104.6144999999997,3770.1969696969695
Biogas CHP Heatline,649.6665625,645.266,645.2665400000001,550.4802
Biogas CHP Powerline,519.73325,516.213,516.2132300000001,440.38416
Biogas Supply,1299.3331,1290.533,1290.5331,1100.9604
Combined Cycle PP,600.0,600.0,600.0,600.0
El Demand,1526.22,1526.22,1526.22,1526.22
Gas Station,847.19716,852.983,852.98324,
Hard Coal CHP Heatline,300.0,300.0,300.0,300.0
Hard Coal CHP Powerline,300.0,300.0,300.0,300.0
Hard Coal PP,500.0,500.0,500.0,500.0
Hard Coal Supply,0.0,0.0,0.0,0.0
Heat Demand,399.99154,399.992,399.991542,399.991542
Heat Plant,450.0,450.0,450.0,450.0
Heat Storage,11357.899,11272.974,11272.974,11082.206000000002
Lignite Power Plant,500.0,500.0,500.0,500.0
Lignite Supply,0.0,0.0,0.0,
Offshore Wind Turbine,2347.4984,2346.38,2346.3804,1947.0219
Onshore Wind Turbine,15776.095,15787.525,15787.525,12703.413
Power To Heat,576.34667,576.357,576.3567800000001,634.1792787
Solar Panel,3811.545,3809.761,3809.7611,3684.7056
